PDV_ID;NOME;CATEGORIA;ENDERECO;LOCAL;ESTADO;NR_CAIXAS;CLASIFICACAO_1;CLASIFICACAO_2;CLASIFICACAO_3;CLASIFICACAO_4;CLASIFICACAO_5;CLASIFICACAO_6;CLASIFICACAO_7;CLASIFICACAO_8;CLASIFICACAO_9;CLASIFICACAO_10;PRIMEIRA_TRANS;ULTIMA_TRANS;CNPJ;RAZAO_SOCIAL;REDE;TIPO_LOJA;MARCA;REGIAO;DATA_PROMO;PODE_PROMO
11;SUPER WAYNE COUNTY;AUTOSERVICIOS;RUA DICKINSON, 926;PONTA GROSSA;PARANA;1;BRASIL;SUL;PARANA;INTERIOR;PONTA GROSSA;CONVENIENCIA;INDEPENDENTE;"";"";"";201807;202502;11135628941587;SUPER WAYNE COUNTY S.A.;"";Conveniencia;"";PARANA INTERIOR;202502;PUEDE PROMOCIONAR
12;EMPORIO LANCASHIRE;AUTOSERVICIOS;AVENIDA GISLASON, 150;CURITIBA;PARANA;9;BRASIL;SUL;PARANA;REGIAO DA CAPITAL;CURITIBA;OUTROS;INDEPENDENTE;"";"";"";201805;202401;98655063245617;EMPORIO LANCASHIRE LTDA;"";Outros;"";PARANA CAPITAL;202401;PUEDE PROMOCIONAR
13;MERCADINHO LOGAN COUNTY;AUTOSERVICIOS;R MAYER, 356;CURITIBA;PARANA;9;BRASIL;SUL;PARANA;REGIAO DA CAPITAL;CURITIBA;SUPERMERCADO;INDEPENDENTE;"";"";"";202102;202501;08514610503470;MERCADINHO LOGAN COUNTY S.A.;"";Supermercado;"";PARANA CAPITAL;202501;PUEDE PROMOCIONAR
14;MERCADINHO MORGAN COUNTY;AUTOSERVICIOS;AVENIDA LUETTGEN, 423;ITABUNA;BAHIA;8;BRASIL;NORDESTE;BAHIA;INTERIOR;ITABUNA;CONVENIENCIA;INDEPENDENTE;"";"";"";201809;202404;04352461205110;MERCADINHO MORGAN COUNTY LTDA;"";Conveniencia;"";BAHIA INTERIOR;;NO PUEDE PROMOCIONAR
15;MERCADO WORCESTERSHIRE;AUTOSERVICIOS;AV STAMM, 847;VITORIA DA CONQUISTA;BAHIA;8;BRASIL;NORDESTE;BAHIA;INTERIOR;VITORIA DA CONQUISTA;CONVENIENCIA;INDEPENDENTE;"";"";"";202005;202508;40953412042271;MERCADO WORCESTERSHIRE EIRELI;"";Conveniencia;"";BAHIA INTERIOR;;NO PUEDE PROMOCIONAR
16;ARMAZÉM SHROPSHIRE;AUTOSERVICIOS;AVENIDA VON, 414;CAXIAS DO SUL;RIO GRANDE DO SUL;4;BRASIL;SUL;RIO GRANDE DO SUL;INTERIOR;CAXIAS DO SUL;OUTROS;INDEPENDENTE;"";"";"";201706;202406;95586140077410;ARMAZÉM SHROPSHIRE S.A.;"";Outros;"";RIO GRANDE DO SUL INTERIOR;;NO PUEDE PROMOCIONAR
17;SUPER STAFFORDSHIRE;AUTOSERVICIOS;RUA SCHMELER, 541;PELOTAS;RIO GRANDE DO SUL;6;BRASIL;SUL;RIO GRANDE DO SUL;INTERIOR;PELOTAS;CONVENIENCIA;INDEPENDENTE;"";"";"";201609;202409;15646486408653;SUPER STAFFORDSHIRE S.A.;"";Conveniencia;"";RIO GRANDE DO SUL INTERIOR;;NO PUEDE PROMOCIONAR
18;EMPORIO CRAWFORD COUNTY;AUTOSERVICIOS;R HESSEL, 400;CAMAÇARI;BAHIA;6;BRASIL;NORDESTE;BAHIA;INTERIOR;CAMAÇARI;CONVENIENCIA;INDEPENDENTE;"";"";"";202004;202509;09246555438770;EMPORIO CRAWFORD COUNTY EIRELI;"";Conveniencia;"";BAHIA INTERIOR;;NO PUEDE PROMOCIONAR
19;MERCADO DURHAM;AUTOSERVICIOS;R BLANDA, 748;SANTOS;SAO PAULO;9;BRASIL;SUDESTE;SAO PAULO;INTERIOR;SANTOS;CONVENIENCIA;INDEPENDENTE;"";"";"";201509;202409;17505940769968;MERCADO DURHAM LTDA;"";Conveniencia;"";SAO PAULO INTERIOR;;NO PUEDE PROMOCIONAR
20;MERCADINHO CLWYD;AUTOSERVICIOS;RUA THIEL, 534;NITEROI;RIO DE JANEIRO;10;BRASIL;SUDESTE;RIO DE JANEIRO;INTERIOR;NITEROI;CONVENIENCIA;INDEPENDENTE;"";"";"";201508;202504;38261110946473;MERCADINHO CLWYD S.A.;"";Conveniencia;"";RIO DE JANEIRO INTERIOR;202504;PUEDE PROMOCIONAR
21;MERCADO MONTGOMERY COUNTY;AUTOSERVICIOS;AV STOKES, 490;SANTOS;SAO PAULO;6;BRASIL;SUDESTE;SAO PAULO;INTERIOR;SANTOS;SUPERMERCADO;INDEPENDENTE;"";"";"";201703;202406;88917930319595;MERCADO MONTGOMERY COUNTY LTDA;"";Supermercado;"";SAO PAULO INTERIOR;;NO PUEDE PROMOCIONAR
22;MERCADO CORNWALL;AUTOSERVICIOS;AVENIDA MRAZ, 810;RIO DE JANEIRO;RIO DE JANEIRO;8;BRASIL;SUDESTE;RIO DE JANEIRO;REGIAO DA CAPITAL;RIO DE JANEIRO;SUPERMERCADO;INDEPENDENTE;"";"";"";201705;202507;24135501251686;MERCADO CORNWALL LTDA;"";Supermercado;"";RIO DE JANEIRO CAPITAL;;NO PUEDE PROMOCIONAR
23;SUPER CALHOUN COUNTY;AUTOSERVICIOS;RUA SCHAMBERGER, 146;CAMPINAS;SAO PAULO;8;BRASIL;SUDESTE;SAO PAULO;INTERIOR;CAMPINAS;CONVENIENCIA;INDEPENDENTE;"";"";"";201802;202503;00833763809596;SUPER CALHOUN COUNTY S.A.;"";Conveniencia;"";SAO PAULO INTERIOR;202503;PUEDE PROMOCIONAR
24;SUPER CARROLL COUNTY;AUTOSERVICIOS;AVENIDA RATH, 84;FOZ DO IGUAÇU;PARANA;4;BRASIL;SUL;PARANA;INTERIOR;FOZ DO IGUAÇU;SUPERMERCADO;INDEPENDENTE;"";"";"";201509;202504;66679747564798;SUPER CARROLL COUNTY LTDA;"";Supermercado;"";PARANA INTERIOR;202504;PUEDE PROMOCIONAR
25;ARMAZÉM CHESHIRE;AUTOSERVICIOS;RUA LEGROS, 361;SANTOS;SAO PAULO;2;BRASIL;SUDESTE;SAO PAULO;INTERIOR;SANTOS;CONVENIENCIA;INDEPENDENTE;"";"";"";202105;202404;90907298697729;ARMAZÉM CHESHIRE EIRELI;"";Conveniencia;"";SAO PAULO INTERIOR;202404;PUEDE PROMOCIONAR
26;SUPER GREATER MANCHESTER;AUTOSERVICIOS;AV GULGOWSKI, 944;VITORIA DA CONQUISTA;BAHIA;3;BRASIL;NORDESTE;BAHIA;INTERIOR;VITORIA DA CONQUISTA;CONVENIENCIA;INDEPENDENTE;"";"";"";202002;202405;01372994022630;SUPER GREATER MANCHESTER S.A.;"";Conveniencia;"";BAHIA INTERIOR;202405;PUEDE PROMOCIONAR
27;EMPORIO MONROE COUNTY;AUTOSERVICIOS;R KRAJCIK, 647;BETIM;MINAS GERAIS;8;BRASIL;SUDESTE;MINAS GERAIS;INTERIOR;BETIM;SUPERMERCADO;INDEPENDENTE;"";"";"";201508;202508;58200266107134;EMPORIO MONROE COUNTY EIRELI;"";Supermercado;"";MINAS GERAIS INTERIOR;;NO PUEDE PROMOCIONAR
28;MERCADO GWENT;AUTOSERVICIOS;RUA BOTSFORD, 809;SAO PAULO;SAO PAULO;10;BRASIL;SUDESTE;SAO PAULO;REGIAO DA CAPITAL;SAO PAULO;CONVENIENCIA;INDEPENDENTE;"";"";"";201504;202408;05897144677534;MERCADO GWENT S.A.;"";Conveniencia;"";SAO PAULO CAPITAL;202408;PUEDE PROMOCIONAR
29;EMPORIO LEE COUNTY;AUTOSERVICIOS;AV SCHUSTER, 84;FEIRA DE SANTANA;BAHIA;9;BRASIL;NORDESTE;BAHIA;INTERIOR;FEIRA DE SANTANA;CONVENIENCIA;INDEPENDENTE;"";"";"";201707;202402;73655413667565;EMPORIO LEE COUNTY EIRELI;"";Conveniencia;"";BAHIA INTERIOR;;NO PUEDE PROMOCIONAR
30;EMPORIO CAMBRIDGESHIRE;AUTOSERVICIOS;RUA PROSACCO, 278;PELOTAS;RIO GRANDE DO SUL;4;BRASIL;SUL;RIO GRANDE DO SUL;INTERIOR;PELOTAS;SUPERMERCADO;INDEPENDENTE;"";"";"";201901;202407;21432924568368;EMPORIO CAMBRIDGESHIRE S.A.;"";Supermercado;"";RIO GRANDE DO SUL INTERIOR;202407;PUEDE PROMOCIONAR
31;MERCADINHO BORDERS;AUTOSERVICIOS;RUA CHAMPLIN, 916;GRAVATAI;RIO GRANDE DO SUL;9;BRASIL;SUL;RIO GRANDE DO SUL;INTERIOR;GRAVATAI;CONVENIENCIA;INDEPENDENTE;"";"";"";201504;202506;06590421217178;MERCADINHO BORDERS EIRELI;"";Conveniencia;"";RIO GRANDE DO SUL INTERIOR;;NO PUEDE PROMOCIONAR
32;MERCADO BUCKINGHAMSHIRE;AUTOSERVICIOS;AVENIDA BORER, 735;SANTA MARIA;RIO GRANDE DO SUL;10;BRASIL;SUL;RIO GRANDE DO SUL;INTERIOR;SANTA MARIA;CONVENIENCIA;INDEPENDENTE;"";"";"";202106;202502;01151953481444;MERCADO BUCKINGHAMSHIRE LTDA;"";Conveniencia;"";RIO GRANDE DO SUL INTERIOR;202502;PUEDE PROMOCIONAR
33;EMPORIO MERSEYSIDE;AUTOSERVICIOS;RUA LIND, 905;UBERLANDIA;MINAS GERAIS;3;BRASIL;SUDESTE;MINAS GERAIS;INTERIOR;UBERLANDIA;SUPERMERCADO;INDEPENDENTE;"";"";"";202107;202509;68855004871301;EMPORIO MERSEYSIDE EIRELI;"";Supermercado;"";MINAS GERAIS INTERIOR;202509;PUEDE PROMOCIONAR
34;EMPORIO MID GLAMORGAN;AUTOSERVICIOS;AV SCHOWALTER, 105;DUQUE DE CAXIAS;RIO DE JANEIRO;2;BRASIL;SUDESTE;RIO DE JANEIRO;INTERIOR;DUQUE DE CAXIAS;OUTROS;INDEPENDENTE;"";"";"";202004;202409;26565718314761;EMPORIO MID GLAMORGAN EIRELI;"";Outros;"";RIO DE JANEIRO INTERIOR;;NO PUEDE PROMOCIONAR
35;MERCADO TAYSIDE;AUTOSERVICIOS;RUA MAYERT, 900;BETIM;MINAS GERAIS;1;BRASIL;SUDESTE;MINAS GERAIS;INTERIOR;BETIM;SUPERMERCADO;INDEPENDENTE;"";"";"";201904;202509;95824073937005;MERCADO TAYSIDE LTDA;"";Supermercado;"";MINAS GERAIS INTERIOR;;NO PUEDE PROMOCIONAR
36;ARMAZÉM KENT;AUTOSERVICIOS;AV SHANAHAN, 21;SANTA MARIA;RIO GRANDE DO SUL;9;BRASIL;SUL;RIO GRANDE DO SUL;INTERIOR;SANTA MARIA;OUTROS;INDEPENDENTE;"";"";"";201805;202504;20512297961165;ARMAZÉM KENT LTDA;"";Outros;"";RIO GRANDE DO SUL INTERIOR;;NO PUEDE PROMOCIONAR
37;ARMAZÉM ESSEX;AUTOSERVICIOS;AVENIDA STARK, 415;CONTAGEM;MINAS GERAIS;10;BRASIL;SUDESTE;MINAS GERAIS;INTERIOR;CONTAGEM;SUPERMERCADO;INDEPENDENTE;"";"";"";201908;202406;94537495437083;ARMAZÉM ESSEX S.A.;"";Supermercado;"";MINAS GERAIS INTERIOR;;NO PUEDE PROMOCIONAR
38;MERCADINHO GWENT;AUTOSERVICIOS;R PROHASKA, 327;PORTO ALEGRE;RIO GRANDE DO SUL;2;BRASIL;SUL;RIO GRANDE DO SUL;REGIAO DA CAPITAL;PORTO ALEGRE;CONVENIENCIA;INDEPENDENTE;"";"";"";202108;202405;00570437657209;MERCADINHO GWENT LTDA;"";Conveniencia;"";RIO GRANDE DO SUL CAPITAL;202405;PUEDE PROMOCIONAR
39;MERCADO FRANKLIN COUNTY;AUTOSERVICIOS;AVENIDA FLATLEY, 618;SALVADOR;BAHIA;9;BRASIL;NORDESTE;BAHIA;REGIAO DA CAPITAL;SALVADOR;CONVENIENCIA;INDEPENDENTE;"";"";"";202002;202501;72528487116187;MERCADO FRANKLIN COUNTY LTDA;"";Conveniencia;"";BAHIA CAPITAL;202501;PUEDE PROMOCIONAR
40;MERCADINHO MARION COUNTY;AUTOSERVICIOS;AV KLING, 136;RIBEIRAO PRETO;SAO PAULO;3;BRASIL;SUDESTE;SAO PAULO;INTERIOR;RIBEIRAO PRETO;CONVENIENCIA;INDEPENDENTE;"";"";"";202107;202409;38953623125059;MERCADINHO MARION COUNTY S.A.;"";Conveniencia;"";SAO PAULO INTERIOR;202409;PUEDE PROMOCIONAR
41;MERCADINHO WASHINGTON COUNTY;AUTOSERVICIOS;AVENIDA JOHNS, 446;RIBEIRAO PRETO;SAO PAULO;2;BRASIL;SUDESTE;SAO PAULO;INTERIOR;RIBEIRAO PRETO;CONVENIENCIA;INDEPENDENTE;"";"";"";201803;202502;22452467513731;MERCADINHO WASHINGTON COUNTY EIRELI;"";Conveniencia;"";SAO PAULO INTERIOR;;NO PUEDE PROMOCIONAR
42;MERCADO LANCASHIRE;AUTOSERVICIOS;R SCHINNER, 302;PORTO ALEGRE;RIO GRANDE DO SUL;4;BRASIL;SUL;RIO GRANDE DO SUL;REGIAO DA CAPITAL;PORTO ALEGRE;SUPERMERCADO;INDEPENDENTE;"";"";"";202104;202409;40291224968410;MERCADO LANCASHIRE EIRELI;"";Supermercado;"";RIO GRANDE DO SUL CAPITAL;202409;PUEDE PROMOCIONAR
43;ARMAZÉM SURREY;AUTOSERVICIOS;AV KOEPP, 470;CONTAGEM;MINAS GERAIS;6;BRASIL;SUDESTE;MINAS GERAIS;INTERIOR;CONTAGEM;SUPERMERCADO;INDEPENDENTE;"";"";"";201607;202409;94332024073274;ARMAZÉM SURREY EIRELI;"";Supermercado;"";MINAS GERAIS INTERIOR;;NO PUEDE PROMOCIONAR
44;MERCADINHO BORDERS;AUTOSERVICIOS;AV WYMAN, 172;RIBEIRAO PRETO;SAO PAULO;5;BRASIL;SUDESTE;SAO PAULO;INTERIOR;RIBEIRAO PRETO;SUPERMERCADO;INDEPENDENTE;"";"";"";201805;202504;82804676558198;MERCADINHO BORDERS LTDA;"";Supermercado;"";SAO PAULO INTERIOR;;NO PUEDE PROMOCIONAR
45;SUPER KENT;AUTOSERVICIOS;AVENIDA HAAG, 100;PONTA GROSSA;PARANA;5;BRASIL;SUL;PARANA;INTERIOR;PONTA GROSSA;SUPERMERCADO;INDEPENDENTE;"";"";"";202107;202404;78939570544482;SUPER KENT LTDA;"";Supermercado;"";PARANA INTERIOR;202404;PUEDE PROMOCIONAR
46;MERCADO GLOUCESTERSHIRE;AUTOSERVICIOS;R GREENHOLT, 55;CAMAÇARI;BAHIA;4;BRASIL;NORDESTE;BAHIA;INTERIOR;CAMAÇARI;OUTROS;INDEPENDENTE;"";"";"";202007;202503;22596543312035;MERCADO GLOUCESTERSHIRE EIRELI;"";Outros;"";BAHIA INTERIOR;;NO PUEDE PROMOCIONAR
47;ARMAZÉM HAMPSHIRE;AUTOSERVICIOS;AV SENGER, 654;RIO DE JANEIRO;RIO DE JANEIRO;10;BRASIL;SUDESTE;RIO DE JANEIRO;REGIAO DA CAPITAL;RIO DE JANEIRO;SUPERMERCADO;INDEPENDENTE;"";"";"";201509;202404;82503435046924;ARMAZÉM HAMPSHIRE S.A.;"";Supermercado;"";RIO DE JANEIRO CAPITAL;202404;PUEDE PROMOCIONAR
48;EMPORIO AVON;AUTOSERVICIOS;RUA KEELING, 582;FOZ DO IGUAÇU;PARANA;10;BRASIL;SUL;PARANA;INTERIOR;FOZ DO IGUAÇU;SUPERMERCADO;INDEPENDENTE;"";"";"";201605;202402;71452861542661;EMPORIO AVON LTDA;"";Supermercado;"";PARANA INTERIOR;;NO PUEDE PROMOCIONAR
49;ARMAZÉM GRAMPIAN;AUTOSERVICIOS;R FRANEY, 851;CAXIAS DO SUL;RIO GRANDE DO SUL;2;BRASIL;SUL;RIO GRANDE DO SUL;INTERIOR;CAXIAS DO SUL;CONVENIENCIA;INDEPENDENTE;"";"";"";201803;202401;00543475330586;ARMAZÉM GRAMPIAN S.A.;"";Conveniencia;"";RIO GRANDE DO SUL INTERIOR;202401;PUEDE PROMOCIONAR
50;EMPORIO AVON;AUTOSERVICIOS;RUA REMPEL, 149;LONDRINA;PARANA;9;BRASIL;SUL;PARANA;INTERIOR;LONDRINA;CONVENIENCIA;INDEPENDENTE;"";"";"";201809;202503;55912293358397;EMPORIO AVON S.A.;"";Conveniencia;"";PARANA INTERIOR;202503;PUEDE PROMOCIONAR
51;SUPER CLEVELAND;AUTOSERVICIOS;R MULLER, 895;SANTOS;SAO PAULO;7;BRASIL;SUDESTE;SAO PAULO;INTERIOR;SANTOS;SUPERMERCADO;INDEPENDENTE;"";"";"";201604;202504;39175324910601;SUPER CLEVELAND LTDA;"";Supermercado;"";SAO PAULO INTERIOR;;NO PUEDE PROMOCIONAR
52;ARMAZÉM WARWICKSHIRE;AUTOSERVICIOS;AVENIDA DOUGLAS, 615;BELO HORIZONTE;MINAS GERAIS;3;BRASIL;SUDESTE;MINAS GERAIS;REGIAO DA CAPITAL;BELO HORIZONTE;OUTROS;INDEPENDENTE;"";"";"";201902;202404;22323419171255;ARMAZÉM WARWICKSHIRE S.A.;"";Outros;"";MINAS GERAIS CAPITAL;202404;PUEDE PROMOCIONAR
53;MERCADINHO FIFE;AUTOSERVICIOS;AVENIDA SCHUPPE, 680;UBERLANDIA;MINAS GERAIS;5;BRASIL;SUDESTE;MINAS GERAIS;INTERIOR;UBERLANDIA;OUTROS;INDEPENDENTE;"";"";"";201501;202403;95984542694290;MERCADINHO FIFE S.A.;"";Outros;"";MINAS GERAIS INTERIOR;;NO PUEDE PROMOCIONAR
54;MERCADINHO GRANT COUNTY;AUTOSERVICIOS;AV BUCKRIDGE, 954;NITEROI;RIO DE JANEIRO;6;BRASIL;SUDESTE;RIO DE JANEIRO;INTERIOR;NITEROI;SUPERMERCADO;INDEPENDENTE;"";"";"";201601;202505;08753649819223;MERCADINHO GRANT COUNTY S.A.;"";Supermercado;"";RIO DE JANEIRO INTERIOR;202505;PUEDE PROMOCIONAR
55;SUPER POWYS;AUTOSERVICIOS;AVENIDA BERGE, 392;NITEROI;RIO DE JANEIRO;10;BRASIL;SUDESTE;RIO DE JANEIRO;INTERIOR;NITEROI;OUTROS;INDEPENDENTE;"";"";"";202102;202404;51600903197975;SUPER POWYS S.A.;"";Outros;"";RIO DE JANEIRO INTERIOR;;NO PUEDE PROMOCIONAR
56;ARMAZÉM FIFE;AUTOSERVICIOS;AV WILL, 394;BELO HORIZONTE;MINAS GERAIS;6;BRASIL;SUDESTE;MINAS GERAIS;REGIAO DA CAPITAL;BELO HORIZONTE;SUPERMERCADO;INDEPENDENTE;"";"";"";201804;202407;85855775171345;ARMAZÉM FIFE LTDA;"";Supermercado;"";MINAS GERAIS CAPITAL;;NO PUEDE PROMOCIONAR
57;SUPER POWYS;AUTOSERVICIOS;AV DONNELLY, 496;SAO PAULO;SAO PAULO;3;BRASIL;SUDESTE;SAO PAULO;REGIAO DA CAPITAL;SAO PAULO;OUTROS;INDEPENDENTE;"";"";"";201508;202408;09829167308042;SUPER POWYS LTDA;"";Outros;"";SAO PAULO CAPITAL;202408;PUEDE PROMOCIONAR
58;MERCADO NOTTINGHAMSHIRE;AUTOSERVICIOS;R KULAS, 203;SAO JOSE DOS CAMPOS;SAO PAULO;5;BRASIL;SUDESTE;SAO PAULO;INTERIOR;SAO JOSE DOS CAMPOS;OUTROS;INDEPENDENTE;"";"";"";202104;202509;32949765927294;MERCADO NOTTINGHAMSHIRE LTDA;"";Outros;"";SAO PAULO INTERIOR;202509;PUEDE PROMOCIONAR
59;MERCADINHO CORNWALL;AUTOSERVICIOS;RUA SCHULTZ, 597;CAMAÇARI;BAHIA;4;BRASIL;NORDESTE;BAHIA;INTERIOR;CAMAÇARI;SUPERMERCADO;INDEPENDENTE;"";"";"";202107;202501;94759006502962;MERCADINHO CORNWALL S.A.;"";Supermercado;"";BAHIA INTERIOR;202501;PUEDE PROMOCIONAR
60;EMPORIO SHROPSHIRE;AUTOSERVICIOS;AVENIDA TORPHY-FRIESEN, 835;CONTAGEM;MINAS GERAIS;5;BRASIL;SUDESTE;MINAS GERAIS;INTERIOR;CONTAGEM;OUTROS;INDEPENDENTE;"";"";"";202107;202407;96844394658974;EMPORIO SHROPSHIRE LTDA;"";Outros;"";MINAS GERAIS INTERIOR;202407;PUEDE PROMOCIONAR
61;ARMAZÉM MONTGOMERY COUNTY;AUTOSERVICIOS;AVENIDA NOLAN, 362;CAMAÇARI;BAHIA;1;BRASIL;NORDESTE;BAHIA;INTERIOR;CAMAÇARI;CONVENIENCIA;INDEPENDENTE;"";"";"";202001;202407;52744725536076;ARMAZÉM MONTGOMERY COUNTY EIRELI;"";Conveniencia;"";BAHIA INTERIOR;;NO PUEDE PROMOCIONAR
62;SUPER STRATHCLYDE;AUTOSERVICIOS;AVENIDA JERDE, 166;SANTA MARIA;RIO GRANDE DO SUL;1;BRASIL;SUL;RIO GRANDE DO SUL;INTERIOR;SANTA MARIA;CONVENIENCIA;INDEPENDENTE;"";"";"";201806;202504;90642529468915;SUPER STRATHCLYDE EIRELI;"";Conveniencia;"";RIO GRANDE DO SUL INTERIOR;202504;PUEDE PROMOCIONAR
63;SUPER LINCOLN COUNTY;AUTOSERVICIOS;RUA GLEASON, 23;ITABUNA;BAHIA;3;BRASIL;NORDESTE;BAHIA;INTERIOR;ITABUNA;CONVENIENCIA;INDEPENDENTE;"";"";"";201906;202508;49524183855413;SUPER LINCOLN COUNTY S.A.;"";Conveniencia;"";BAHIA INTERIOR;202508;PUEDE PROMOCIONAR
64;MERCADO JEFFERSON COUNTY;AUTOSERVICIOS;R MAGGIO, 74;UBERLANDIA;MINAS GERAIS;2;BRASIL;SUDESTE;MINAS GERAIS;INTERIOR;UBERLANDIA;SUPERMERCADO;INDEPENDENTE;"";"";"";201507;202502;17991435147447;MERCADO JEFFERSON COUNTY LTDA;"";Supermercado;"";MINAS GERAIS INTERIOR;;NO PUEDE PROMOCIONAR
65;SUPER COUNTY ARMAGH;AUTOSERVICIOS;AVENIDA BECKER, 383;RIO DE JANEIRO;RIO DE JANEIRO;2;BRASIL;SUDESTE;RIO DE JANEIRO;REGIAO DA CAPITAL;RIO DE JANEIRO;OUTROS;INDEPENDENTE;"";"";"";201903;202502;45197122893910;SUPER COUNTY ARMAGH LTDA;"";Outros;"";RIO DE JANEIRO CAPITAL;;NO PUEDE PROMOCIONAR
66;MERCADINHO HANCOCK COUNTY;AUTOSERVICIOS;RUA RICE-HEANEY, 463;LONDRINA;PARANA;4;BRASIL;SUL;PARANA;INTERIOR;LONDRINA;CONVENIENCIA;INDEPENDENTE;"";"";"";201504;202509;23758717767328;MERCADINHO HANCOCK COUNTY EIRELI;"";Conveniencia;"";PARANA INTERIOR;202509;PUEDE PROMOCIONAR
67;MERCADO CUMBRIA;AUTOSERVICIOS;AV LARKIN, 801;CAMAÇARI;BAHIA;3;BRASIL;NORDESTE;BAHIA;INTERIOR;CAMAÇARI;CONVENIENCIA;INDEPENDENTE;"";"";"";201705;202506;58517543227342;MERCADO CUMBRIA S.A.;"";Conveniencia;"";BAHIA INTERIOR;202506;PUEDE PROMOCIONAR
